ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:1903039,positive regulation of leukocyte cell-cell adhesion,24/202,89/1417,0.000845711430063993,0.0302978389473601,0.0262101297256719,CCL21/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS1/LGALS9/LILRB1/LILRB4/TFRC/TGFBR2/THY1/TNF/TNFRSF14/TNFSF13B/VCAM1/XCL1,24
GO:0045638,negative regulation of myeloid cell differentiation,7/202,13/1417,0.000868098198712668,0.0302978389473601,0.0262101297256719,CCL3/DLL1/FSTL3/LILRB1/LILRB4/SFRP1/TNFRSF11B,7
GO:0042098,T cell proliferation,22/202,79/1417,0.000876191355792642,0.0302978389473601,0.0262101297256719,CD274/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/TFRC/TGFBR2/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,22
GO:0050730,regulation of peptidyl-tyrosine phosphorylation,22/202,79/1417,0.000876191355792642,0.0302978389473601,0.0262101297256719,AREG/CD4/CD74/CRLF1/EFNA1/EPO/HGF/IL15/IL6/ITGA5/LEP/LILRA5/LILRB4/NRP1/SFRP1/SPINK1/TGFA/TGFB1/TNF/TNFRSF14/TNFRSF1A/TREM2,22
GO:0032613,interleukin-10 production,10/202,24/1417,0.000883469870220128,0.0302978389473601,0.0262101297256719,CD274/DLL1/HGF/IL6/LGALS9/LILRA5/LILRB1/LILRB4/TREM2/XCL1,10
GO:0032653,regulation of interleukin-10 production,10/202,24/1417,0.000883469870220128,0.0302978389473601,0.0262101297256719,CD274/DLL1/HGF/IL6/LGALS9/LILRA5/LILRB1/LILRB4/TREM2/XCL1,10
GO:0042110,T cell activation,34/202,143/1417,0.000890281648173361,0.0302978389473601,0.0262101297256719,CCL21/CD27/CD274/CD4/CD5/CD74/CTSL/EPO/HAVCR2/ICAM1/IL15/IL18R1/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/TFRC/TGFB1/TGFBR2/THY1/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,34
GO:0002507,tolerance induction,6/202,10/1417,0.000997098252449256,0.0328413928688849,0.0284105136660326,CD274/HAVCR2/IL2RA/LGALS9/LILRB4/TGFBR2,6
GO:0002762,negative regulation of myeloid leukocyte differentiation,6/202,10/1417,0.000997098252449256,0.0328413928688849,0.0284105136660326,CCL3/FSTL3/LILRB1/LILRB4/SFRP1/TNFRSF11B,6
GO:0002819,regulation of adaptive immune response,18/202,60/1417,0.00102105664736603,0.0328413928688849,0.0284105136660326,CD274/CD4/FCER2/HAVCR2/IL18R1/IL6/LILRB1/LILRB4/TFRC/TGFB1/TNF/TNFRSF14/TNFRSF1B/TNFSF13/TNFSF13B/TREM2/ULBP2/XCL1,18
GO:0002520,immune system development,13/202,37/1417,0.00104161134099075,0.0328413928688849,0.0284105136660326,CD274/HAVCR2/IL15/IL2RA/LGALS9/LILRB4/LTBR/MAD1L1/TFRC/TGFB1/TGFBR2/TNFRSF11A/TNFSF13,13
GO:0002702,positive regulation of production of molecular mediator of immune response,13/202,37/1417,0.00104161134099075,0.0328413928688849,0.0284105136660326,CD74/IL18R1/IL6/LILRB1/MZB1/SEMA7A/SPON2/TFRC/TGFB1/TNFRSF14/TNFRSF4/TNFSF13/XCL1,13
GO:0007155,cell adhesion,73/202,381/1417,0.00114949534556146,0.0357176524765763,0.030898715467266,ACVRL1/ADGRG1/AMBP/ANGPT2/BAIAP2/BCAM/CCDC80/CCL21/CCN3/CCN4/CCN5/CD27/CD274/CD4/CD5/CD74/CDH2/CEACAM8/COL18A1/COL6A3/CSF1/DLL1/EFNA1/EPHA2/EPO/FOLR2/FSTL3/HAVCR2/HSPG2/HYAL1/ICAM1/ICAM5/IGFBP7/IL15/IL1RN/IL2RA/IL6/ITGA5/LAG3/LAMA4/LEP/LGALS1/LGALS4/LGALS9/LILRB1/LILRB4/MAD1L1/MMP12/NFASC/NRP1/PLA2G2A/PLAUR/PLXNB2/SERPINB8/SFRP1/SIGLEC10/SIGLEC7/SPON1/SPON2/ST6GAL1/TFRC/TGFB1/TGFBR2/THBS2/THY1/TNF/TNFRSF12A/TNFRSF14/TNFSF13B/VCAM1/VSIG4/VWC2/XCL1,73
GO:0002250,adaptive immune response,30/202,123/1417,0.0011876434842085,0.0363129314967226,0.0314136809196903,BTN3A2/CD27/CD274/CD4/CD74/CD79B/CTSL/CTSS/FCER2/HAVCR2/ICAM1/IL18R1/IL6/LAG3/LAIR1/LILRB1/LILRB4/SIGLEC10/TFRC/TGFB1/TNF/TNFRSF11A/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFSF13/TNFSF13B/TREM2/ULBP2/XCL1,30
GO:0046649,lymphocyte activation,42/202,191/1417,0.00120252711579632,0.0363129314967226,0.0314136809196903,BST2/CCL21/CD27/CD274/CD4/CD5/CD74/CD79B/CTSL/DLL1/EPO/HAVCR2/ICAM1/IL15/IL18R1/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/SFRP1/TFRC/TGFB1/TGFBR2/THY1/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13/TNFSF13B/ULBP2/VCAM1/VSIG4/XCL1,42
GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,17/202,56/1417,0.00122026116012043,0.0363366656569196,0.0314342129259094,CD274/CD4/FCER2/HAVCR2/IL18R1/IL6/LILRB1/LILRB4/TFRC/TGFB1/TNF/TNFRSF1B/TNFSF13/TNFSF13B/TREM2/ULBP2/XCL1,17
GO:0030099,myeloid cell differentiation,23/202,86/1417,0.00123757538606977,0.0363474195579943,0.0314435159373458,CCL3/CCN4/CD4/CD74/CLEC5A/CSF1/DLL1/EPHA2/EPO/FSTL3/IL15/LILRB1/LILRB4/LTBR/OSCAR/SFRP1/TFRC/TGFB1/TGFBR2/TNF/TNFRSF11A/TNFRSF11B/TREM2,23
GO:0018108,peptidyl-tyrosine phosphorylation,24/202,92/1417,0.00141765235348686,0.0405259552783442,0.0350582939907907,AREG/CD4/CD74/CRLF1/EFEMP1/EFNA1/EPO/FGFR2/HGF/IL15/IL6/ITGA5/LEP/LILRA5/LILRB4/NRP1/SFRP1/SPINK1/TGFA/TGFB1/TNF/TNFRSF14/TNFRSF1A/TREM2,24
GO:0018212,peptidyl-tyrosine modification,24/202,92/1417,0.00141765235348686,0.0405259552783442,0.0350582939907907,AREG/CD4/CD74/CRLF1/EFEMP1/EFNA1/EPO/FGFR2/HGF/IL15/IL6/ITGA5/LEP/LILRA5/LILRB4/NRP1/SFRP1/SPINK1/TGFA/TGFB1/TNF/TNFRSF14/TNFRSF1A/TREM2,24
GO:0002706,regulation of lymphocyte mediated immunity,17/202,57/1417,0.00152139537770139,0.0413520296814973,0.0357729164860557,FCER2/HAVCR2/IL18R1/IL6/LAG3/LEP/LGALS9/LILRB1/LILRB4/TFRC/TGFB1/TNF/TNFRSF1B/TNFSF13/TREM2/ULBP2/XCL1,17
GO:1903037,regulation of leukocyte cell-cell adhesion,28/202,114/1417,0.0015654017030062,0.0413520296814973,0.0357729164860557,CCL21/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR2/IL15/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/TFRC/TGFBR2/THY1/TNF/TNFRSF14/TNFSF13B/VCAM1/VSIG4/XCL1,28
GO:0070482,response to oxygen levels,20/202,72/1417,0.00157337829323977,0.0413520296814973,0.0357729164860557,ACVRL1/ADM/ANGPT2/ANGPTL4/EGLN1/EPO/FABP1/FGFR2/HSPG2/LEP/NOS1/PGF/SFRP1/STC1/STC2/TFRC/TGFB1/TNF/TREM2/VCAM1,20
GO:0045637,regulation of myeloid cell differentiation,14/202,43/1417,0.00157599703948021,0.0413520296814973,0.0357729164860557,CCL3/CD4/CD74/CSF1/DLL1/FSTL3/LILRB1/LILRB4/SFRP1/TGFB1/TNF/TNFRSF11A/TNFRSF11B/TREM2,14
GO:1903038,negative regulation of leukocyte cell-cell adhesion,14/202,43/1417,0.00157599703948021,0.0413520296814973,0.0357729164860557,CCL21/CD274/CD74/HAVCR2/IL2RA/LAG3/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/TNFRSF14/VSIG4/XCL1,14
GO:0002699,positive regulation of immune effector process,19/202,67/1417,0.00157797131340464,0.0413520296814973,0.0357729164860557,CD74/FCER2/IL18R1/IL6/LAG3/LGALS9/LILRB1/MZB1/SEMA7A/SPON2/TFRC/TGFB1/TNF/TNFRSF14/TNFRSF4/TNFSF13/TREM2/ULBP2/XCL1,19
GO:0051093,negative regulation of developmental process,35/202,153/1417,0.00158156083669906,0.0413520296814973,0.0357729164860557,ACVRL1/ANGPT2/AREG/CCL3/CCN3/CCN4/CD74/CRIM1/CST3/DCN/DLL1/EFEMP1/EFNA1/EPHA2/FGF23/FSTL3/GDF15/HSPG2/IL6/LAG3/LEP/LILRB1/LILRB4/NPPB/NRP1/SEMA7A/SFRP1/STC2/TFRC/TGFB1/THBS2/THY1/TNF/TNFRSF11B/TREM2,35
GO:0042130,negative regulation of T cell proliferation,11/202,30/1417,0.00171965221774388,0.0441904322068679,0.0382283687885415,CD274/HAVCR2/IL2RA/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/TNFRSF14/VSIG4/XCL1,11
GO:0045321,leukocyte activation,50/202,242/1417,0.00173443082718273,0.0441904322068679,0.0382283687885415,BST2/CCL21/CCL3/CD27/CD274/CD4/CD5/CD74/CD79B/CSF1/CTSL/DLL1/EPO/FCER2/HAVCR1/HAVCR2/ICAM1/IL15/IL18R1/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/LTBR/MAD1L1/MZB1/PLA2G2A/PTGDS/SFRP1/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13/TNFSF13B/TREM2/ULBP2/VCAM1/VSIG4/XCL1,50
GO:0022407,regulation of cell-cell adhesion,32/202,137/1417,0.00177863541198789,0.0441904322068679,0.0382283687885415,CCL21/CD27/CD274/CD4/CD5/CD74/EPO/FSTL3/HAVCR2/IL15/IL1RN/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/PLAUR/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF14/TNFSF13B/VCAM1/VSIG4/XCL1,32
GO:0030097,hemopoiesis,39/202,177/1417,0.00178936235419033,0.0441904322068679,0.0382283687885415,CCL3/CCN4/CD27/CD4/CD74/CD79B/CLEC5A/CRIP2/CSF1/CTSL/DLL1/EPHA2/EPO/FGFR2/FSTL3/IL15/IL18R1/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/LTBR/OSCAR/SFRP1/TFRC/TGFB1/TGFBR2/TNF/TNFRSF11A/TNFRSF11B/TNFRSF13B/TNFRSF9/TNFSF13B/TREM2/VCAM1,39
GO:0050793,regulation of developmental process,72/202,380/1417,0.00180543647471821,0.0441904322068679,0.0382283687885415,ACVRL1/ADM/AGRN/ANGPT2/ANGPTL4/AREG/BAIAP2/CCL3/CCL7/CCN3/CCN4/CCN5/CD27/CD4/CD74/CDH2/CHI3L1/CRIM1/CSF1/CST3/DCN/DLL1/EFEMP1/EFNA1/EGLN1/EPHA2/EPO/FGF23/FGFR2/FSTL3/GDF15/HGF/HSPB6/HSPG2/HYAL1/IL15/IL2RA/IL6/ITGA5/LAG3/LAMA4/LEP/LGALS9/LILRB1/LILRB4/MSR1/NBL1/NPPB/NRP1/PGF/PLA2G2A/PLXNB2/RARRES2/SEMA7A/SFRP1/SMOC1/SMOC2/STC2/TFRC/TGFB1/TGFBR2/THBS2/THY1/TNF/TNFRSF11A/TNFRSF11B/TNFRSF1A/TNFRSF1B/TNFSF13/TNFSF13B/TREM2/VWC2,72
GO:0050868,negative regulation of T cell activation,13/202,39/1417,0.00182175960890054,0.0441904322068679,0.0382283687885415,CD274/CD74/HAVCR2/IL2RA/LAG3/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/TNFRSF14/VSIG4/XCL1,13
GO:0045667,regulation of osteoblast differentiation,10/202,26/1417,0.00184146171234733,0.0441904322068679,0.0382283687885415,AREG/CCN4/CRIM1/FGF23/FGFR2/HGF/IL6/SFRP1/SMOC1/TNF,10
GO:0048514,blood vessel morphogenesis,36/202,160/1417,0.00185500881465397,0.0441904322068679,0.0382283687885415,ACVRL1/ADGRG1/ADM/ANGPT2/ANGPTL4/CCN3/CDH2/CHI3L1/CLEC14A/COL18A1/CXCL17/DCN/DLL1/EFNA1/EGLN1/EPHA2/FGFR2/HSPB6/HSPG2/HYAL1/IL6/ITGA5/LEP/NPPB/NRP1/PGF/SFRP1/SMOC2/TGFA/TGFB1/TGFBR2/THBS2/THY1/TNF/TNFRSF12A/TNNI3,36
GO:0051094,positive regulation of developmental process,51/202,249/1417,0.00190038368768906,0.0446059435192798,0.0385878203461169,ACVRL1/ADM/AGRN/ANGPT2/ANGPTL4/BAIAP2/CCN3/CCN4/CCN5/CD27/CD4/CD74/CHI3L1/CSF1/DCN/DLL1/EPO/FGFR2/GDF15/HGF/HSPB6/HYAL1/IL15/IL2RA/IL6/ITGA5/LEP/LGALS9/LILRB4/MSR1/NBL1/NRP1/PGF/PLA2G2A/PLXNB2/RARRES2/SEMA7A/SFRP1/SMOC2/TFRC/TGFB1/TGFBR2/THBS2/TNF/TNFRSF11A/TNFRSF1A/TNFRSF1B/TNFSF13/TNFSF13B/TREM2/VWC2,51
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,19/202,68/1417,0.00191551656458334,0.0446059435192798,0.0385878203461169,AREG/CD4/CD74/CRLF1/EFNA1/EPO/HGF/IL15/IL6/ITGA5/LEP/LILRA5/NRP1/TGFA/TGFB1/TNF/TNFRSF14/TNFRSF1A/TREM2,19
GO:0035272,exocrine system development,6/202,11/1417,0.00193486602019264,0.0446059435192798,0.0385878203461169,FGFR2/HGF/IGSF3/NRP1/TGFB1/TNF,6
GO:1902531,regulation of intracellular signal transduction,58/202,293/1417,0.00206983575204592,0.0472098707700687,0.0408404321960237,ACE2/ACTA2/ACVRL1/ADGRG1/AMBP/BST2/CCL14/CCL20/CCL21/CCL3/CCL7/CCN3/CD27/CD4/CD74/CDH2/CHI3L1/CSF1/CXCL17/DCN/EDA2R/EFNA1/EPHA2/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL18R1/IL6/LEP/LGALS1/LGALS9/LILRA5/LILRB4/LTBR/MAD1L1/NRP1/PIK3IP1/PLA2G2A/PLAUR/REN/SEMA7A/SPINK1/TFRC/TGFA/TGFB1/TGFBR2/TNF/TNFRSF10B/TNFRSF11A/TNFRSF1A/TREM2/XCL1,58
GO:0046651,lymphocyte proliferation,25/202,100/1417,0.00217538790965259,0.0482704479271301,0.0417579189157518,CD274/CD74/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/TFRC/TGFBR2/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,25
GO:0009887,animal organ morphogenesis,31/202,133/1417,0.00219285155792594,0.0482704479271301,0.0417579189157518,ACTA2/ACVRL1/ADM/AREG/CDH2/COL18A1/CSF1/DCN/DLL1/EFEMP1/EFNA1/EGLN1/EPHA2/FGF23/FGFR2/HGF/HYAL1/IL6/KLK4/NBL1/NRP1/RELT/SFRP1/STC1/TGFA/TGFB1/TGFBR2/THY1/TNF/TNFRSF11B/TNNI3,31
GO:0001568,blood vessel development,38/202,173/1417,0.0022010114022153,0.0482704479271301,0.0417579189157518,ACTA2/ACVRL1/ADGRG1/ADM/ANGPT2/ANGPTL4/CCN3/CDH2/CFC1/CHI3L1/CLEC14A/COL18A1/CXCL17/DCN/DLL1/EFNA1/EGLN1/EPHA2/FGFR2/HSPB6/HSPG2/HYAL1/IL6/ITGA5/LEP/NPPB/NRP1/PGF/SFRP1/SMOC2/TGFA/TGFB1/TGFBR2/THBS2/THY1/TNF/TNFRSF12A/TNNI3,38
GO:0001525,angiogenesis,34/202,150/1417,0.00220639174293785,0.0482704479271301,0.0417579189157518,ACVRL1/ADGRG1/ADM/ANGPT2/ANGPTL4/CCN3/CHI3L1/CLEC14A/COL18A1/CXCL17/DCN/DLL1/EFNA1/EGLN1/EPHA2/FGFR2/HSPB6/HSPG2/HYAL1/IL6/ITGA5/LEP/NPPB/NRP1/PGF/SFRP1/SMOC2/TGFA/TGFB1/TGFBR2/THBS2/THY1/TNF/TNFRSF12A,34
GO:0071356,cellular response to tumor necrosis factor,19/202,69/1417,0.00231230363464202,0.0496117799893258,0.0429182817857385,CCL14/CCL20/CCL21/CCL3/CCL7/CHI3L1/EDA2R/FABP4/HYAL1/SFRP1/TNF/TNFRSF11A/TNFRSF14/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFSF13B/VCAM1/XCL1,19
GO:0032946,positive regulation of mononuclear cell proliferation,17/202,59/1417,0.0023145933020325,0.0496117799893258,0.0429182817857385,CD274/CD74/CSF1/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/ST6GAL1/TFRC/TGFBR2/TNFRSF4/TNFSF13B/VCAM1/XCL1,17
